Timestamp,System ON,System ON Timestamps,System OFF Timestamps,Temperature (°C),Solar Panels Energy Output (W),Power Consumption (kW),Energy Stored in Batteries (kWh),Solar Irradiance (W/m²),Inverter Efficiency (%),System Load (kW),System Fault Alerts,Voltage (V),Current (A),Power Factor,Dust and Dirt Accumulation (g/m²),Battery Low Flag,Battery Full Flag,Customer Profile,User Coordinates,Solar Panels Type,Solar Panels Configuration,Depth of Discharge,Battery Capacity (Wh),Inverter Capacity (kW),Battery Technology
01/12/2024 0:00,TRUE,01/12/2024 0:00,,30.14178101,0,0.488183233,0.335389708,0,90,,FALSE,220,2.219014695,0.9,0.001,FALSE,FALSE,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000,1,Lithium - Ion
01/12/2024 0:15,TRUE,01/12/2024 0:15,,33.35475915,0,0.445345484,0.224053337,0,90,,FALSE,220,2.024297653,0.9,0.002,TRUE,FALSE,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000,1,Lithium - Ion
01/12/2024 0:30,FALSE,,01/12/2024 0:30,30.75523057,0,0,0.224053337,0,90,,FALSE,220,0,0.9,0.003,TRUE,FALSE,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000,1,Lithium - Ion
01/12/2024 0:45,FALSE,,01/12/2024 0:45,31.0262148,0,0,0.224053337,0,90,,FALSE,220,0,0.9,0.004,TRUE,FALSE,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000,1,Lithium - Ion
01/12/2024 1:00,FALSE,,01/12/2024 1:00,33.33764682,0,0,0.224053337,0,90,,FALSE,220,0,0.9,0.005,TRUE,FALSE,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000,1,Lithium - Ion
01/12/2024 1:15,FALSE,,01/12/2024 1:15,29.12581443,0,0,0.224053337,0,90,,FALSE,220,0,0.9,0.006,TRUE,FALSE,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000,1,Lithium - Ion
01/12/2024 1:30,FALSE,,01/12/2024 1:30,34.0947935,0,0,0.224053337,0,90,,FALSE,220,0,0.9,0.007,TRUE,FALSE,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000,1,Lithium - Ion
01/12/2024 1:45,FALSE,,01/12/2024 1:45,30.94640783,0,0,0.224053337,0,90,,FALSE,220,0,0.9,0.008,TRUE,FALSE,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000,1,Lithium - Ion
01/12/2024 2:00,FALSE,,01/12/2024 2:00,32.81753274,0,0,0.224053337,0,90,,FALSE,220,0,0.9,0.009,TRUE,FALSE,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000,1,Lithium - Ion
01/12/2024 2:15,FALSE,,01/12/2024 2:15,29.7477174,0,0,0.224053337,0,90,,FALSE,220,0,0.9,0.01,TRUE,FALSE,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000,1,Lithium - Ion
