,Temperature (°C),Solar Panels Energy Output (W),Power Consumption (kW),Energy Stored in Batteries (kWh),System Load (kW),Current (A),Dust and Dirt Accumulation (g/m²),Battery Low Flag,Customer Profile,Solar Irradiance (W/m²)
0,21.02723199,0.0,0.23267642,0.767498454,0.23267642,1.057620091,0.001,False,Residential,
1,21.0,0.0,0.398544298,0.709329349,0.398544298,1.81156499,0.002,False,Residential,
2,21.95423454,0.0,0.530610187,0.609693275,0.530610187,2.411864485,0.003,False,Residential,
3,22.69277945,0.0,0.41732175,0.477040728,0.41732175,1.896917045,0.004,False,Residential,
4,22.20047614,0.0,0.314497071,0.372710291,0.314497071,1.429532139,0.005,True,Residential,
27,21.0,58.5270966,0.585404636,0.308780722,0.585404636,2.660930162,0.028,True,Residential,
32,22.06330122,150.0,0.220096231,0.305392297,0.220096231,1.000437412,0.033,True,Residential,
34,21.70117471,182.6284287,0.327870304,0.329536007,0.327870304,1.490319563,0.035,True,Residential,
36,21.21306137,212.1320344,0.557242577,0.342676475,0.557242577,2.532920806,0.037,True,Residential,
38,21.0,238.0060021,0.500767606,0.312786824,0.500767606,2.276216393,0.039,True,Residential,
40,21.0382114,259.8076211,0.578479085,0.309456644,0.578479085,2.629450389,0.041,True,Residential,
43,21.66277943,284.0790388,0.488942208,0.366345199,0.488942208,2.222464583,0.044,False,Residential,
44,22.19393074,289.7777479,0.56537647,0.315129406,0.56537647,2.569893044,0.045,True,Residential,
46,22.91604297,297.4334584,0.320957892,0.319788622,0.320957892,1.458899509,0.047,False,Residential,
47,23.05903545,299.357677,0.28039388,0.313907514,0.28039388,1.274517638,0.048,False,Residential,
48,22.3724032,300.0,0.435010878,0.318648463,0.435010878,1.977322175,0.049,True,Residential,
50,22.33018248,297.4334584,0.587295026,0.359735163,0.587295026,2.669522845,0.051,True,Residential,
52,21.44909962,289.7777479,0.531788655,0.360828667,0.531788655,2.41722116,0.053,False,Residential,
53,21.0,284.0790388,0.350698829,0.30032594,0.350698829,1.594085586,0.054,True,Residential,
55,21.59183656,269.0618225,0.206027676,0.352961957,0.206027676,0.936489435,0.056,False,Residential,
56,21.51132143,259.8076211,0.256257771,0.368720494,0.256257771,1.164808052,0.057,False,Residential,
57,22.42915175,249.4408837,0.517191574,0.369607956,0.517191574,2.350870793,0.058,False,Residential,
58,22.59708876,238.0060021,0.229685118,0.302670284,0.229685118,1.044023265,0.059,False,Residential,
59,22.05187665,225.5519422,0.522808126,0.304750505,0.522808126,2.376400572,0.06,True,Residential,
62,21.80903335,182.6284287,0.41181393,0.332920403,0.41181393,1.871881501,0.063,True,Residential,
64,21.0,150.0,0.230773367,0.317291796,0.230773367,1.048969849,0.065,True,Residential,
66,21.0,114.8050297,0.433657433,0.330270106,0.433657433,1.971170148,0.067,True,Residential,
70,21.60947063,39.15785767,0.210889988,0.308708167,0.210889988,0.958590854,0.071,True,Residential,
124,22.48378488,77.64571353,0.552986563,0.300006843,0.552986563,2.513575287,0.125,True,Residential,
129,21.07670026,166.6710699,0.427568015,0.323480869,0.427568015,1.943490975,0.13,True,Residential,
131,21.69001943,197.8037445,0.305439314,0.30391374,0.305439314,1.388360516,0.132,True,Residential,
133,21.47038424,225.5519422,0.532653504,0.330037856,0.532653504,2.421152289,0.134,True,Residential,
135,21.7994387,249.4408837,0.377894445,0.312763967,0.377894445,1.717702024,0.136,True,Residential,
137,22.73238416,269.0618225,0.475121871,0.345602482,0.475121871,2.159644869,0.138,True,Residential,
139,23.34927367,284.0790388,0.314708962,0.363378434,0.314708962,1.430495282,0.14,False,Residential,
140,22.42251324,289.7777479,0.391585066,0.355720953,0.391585066,1.77993212,0.141,False,Residential,
141,22.04731456,294.2355841,0.364138004,0.330269124,0.364138004,1.655172746,0.142,False,Residential,
142,21.1699742,297.4334584,0.362605707,0.312793519,0.362605707,1.648207759,0.143,True,Residential,
144,21.17927377,300.0,0.242108186,0.371339876,0.242108186,1.100491756,0.145,False,Residential,
145,21.61210789,299.357677,0.462156623,0.385812829,0.462156623,2.100711925,0.146,False,Residential,
146,21.0,297.4334584,0.264896028,0.345113093,0.264896028,1.204072852,0.147,False,Residential,
147,21.24480718,294.2355841,0.37478117,0.35324745,0.37478117,1.703550773,0.148,False,Residential,
148,21.56671471,289.7777479,0.374199343,0.333111054,0.374199343,1.700906102,0.149,False,Residential,
149,21.96149348,284.0790388,0.210050732,0.312005655,0.210050732,0.954776057,0.15,False,Residential,
150,21.31563225,277.1638598,0.463079622,0.330512732,0.463079622,2.104907371,0.151,True,Residential,
152,21.86430777,259.8076211,0.348462177,0.351299247,0.348462177,1.583918985,0.153,False,Residential,
153,21.03261472,249.4408837,0.459785173,0.329135608,0.459785173,2.089932604,0.154,True,Residential,
155,21.0,225.5519422,0.484088163,0.336051036,0.484088163,2.200400741,0.156,True,Residential,
157,21.0,197.8037445,0.21065828,0.32444999,0.21065828,0.957537638,0.158,False,Residential,
158,21.31058699,182.6284287,0.538592713,0.321236356,0.538592713,2.448148694,0.159,True,Residential,
161,21.0,132.6866071,0.401859124,0.311413052,0.401859124,1.826632382,0.162,True,Residential,
165,22.58285539,58.5270966,0.332074692,0.316340569,0.332074692,1.50943042,0.166,True,Residential,
221,21.68480349,96.43183959,0.260989601,0.311386271,0.260989601,1.186316367,0.222,True,Residential,
224,22.03990873,150.0,0.560588057,0.332119739,0.560588057,2.548127531,0.225,True,Residential,
227,21.99633788,197.8037445,0.587614298,0.3167976,0.587614298,2.670974084,0.228,True,Residential,
230,21.0,238.0060021,0.554280086,0.328765956,0.554280086,2.519454938,0.231,True,Residential,
232,22.07487859,259.8076211,0.443479224,0.312057655,0.443479224,2.015814657,0.233,True,Residential,
234,23.37222582,277.1638598,0.582968949,0.33340521,0.582968949,2.649858861,0.235,True,Residential,
