Timestamp,System ON,Temperature (°C),Solar Panels Energy Output (W),Power Consumption (kW),Energy Stored in Batteries (kWh),Inverter Efficiency (%),System Load (kW),System Fault Alerts,Voltage (V),Current (A),Power Factor,Dust and Dirt Accumulation (g/m²),Battery Low Flag,Battery Full Flag,Customer Profile,Solar Panels Type,Solar Panels Configuration,Depth of Discharge,Battery Capacity (Wh),Inverter Capacity (kW),Battery Technology,Latitude,Longitude
2024-09-05 01:15:00,False,21.78089491,0.0,0.0,0.294086023,90.0,0.0,False,220.0,0.0,0.9,0.006,True,False,Residential,MonoCrystalline,1s2p,0.1,1000.0,1.0,Lithium - Ion,10.525053,7.417253
2024-09-05 01:30:00,False,21.0,0.0,0.0,0.294086023,90.0,0.0,False,220.0,0.0,0.9,0.007,True,False,Residential,MonoCrystalline,1s2p,0.1,1000.0,1.0,Lithium - Ion,10.525053,7.417254
2024-09-05 01:45:00,False,21.88416359,0.0,0.0,0.294086023,90.0,0.0,False,220.0,0.0,0.9,0.008,True,False,Residential,MonoCrystalline,1s2p,0.1,1000.0,1.0,Lithium - Ion,10.525053,7.417255
2024-09-05 02:00:00,False,21.0,0.0,0.0,0.294086023,90.0,0.0,False,220.0,0.0,0.9,0.009,True,False,Residential,MonoCrystalline,1s2p,0.1,1000.0,1.0,Lithium - Ion,10.525053,7.417256
2024-09-05 02:15:00,False,21.0,0.0,0.0,0.294086023,90.0,0.0,False,220.0,0.0,0.9,0.01,True,False,Residential,MonoCrystalline,1s2p,0.1,1000.0,1.0,Lithium - Ion,10.525053,7.417257
2024-09-05 02:30:00,False,21.0,0.0,0.0,0.294086023,90.0,0.0,False,220.0,0.0,0.9,0.011,True,False,Residential,MonoCrystalline,1s2p,0.1,1000.0,1.0,Lithium - Ion,10.525053,7.417258
2024-09-05 02:45:00,False,21.63617254,0.0,0.0,0.294086023,90.0,0.0,False,220.0,0.0,0.9,0.012,True,False,Residential,MonoCrystalline,1s2p,0.1,1000.0,1.0,Lithium - Ion,10.525053,7.417259
2024-09-05 03:00:00,False,22.28304753,0.0,0.0,0.294086023,90.0,0.0,False,220.0,0.0,0.9,0.013,True,False,Residential,MonoCrystalline,1s2p,0.1,1000.0,1.0,Lithium - Ion,10.525053,7.41726
2024-09-05 03:15:00,False,22.01146793,0.0,0.0,0.294086023,90.0,0.0,False,220.0,0.0,0.9,0.014,True,False,Residential,MonoCrystalline,1s2p,0.1,1000.0,1.0,Lithium - Ion,10.525053,7.417261
2024-09-05 03:30:00,False,21.36417398,0.0,0.0,0.294086023,90.0,0.0,False,220.0,0.0,0.9,0.015,True,False,Residential,MonoCrystalline,1s2p,0.1,1000.0,1.0,Lithium - Ion,10.525053,7.417262
