,Timestamp,System ON,System ON Timestamps,System OFF Timestamps,Temperature (°C),Solar Panels Energy Output (W),Power Consumption (kW),Energy Stored in Batteries (kWh),Inverter Efficiency (%),System Load (kW),System Fault Alerts,Voltage (V),Current (A),Power Factor,Dust and Dirt Accumulation (g/m²),Battery Low Flag,Battery Full Flag,Customer Profile,User Coordinates,Solar Panels Type,Solar Panels Configuration,Depth of Discharge,Battery Capacity (Wh),Inverter Capacity (kW),Battery Technology,Solar Irradiance (W/m²)
1,05/09/2024 00:00,True,05/09/2024 00:00,,21.02723199,0.0,0.23267642,0.767498454,90.0,0.23267642,False,220.0,1.057620091,0.9,0.001,False,False,Residential,"10.525053,7.417248",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
3,05/09/2024 00:15,True,05/09/2024 00:15,,21.0,0.0,0.398544298,0.709329349,90.0,0.398544298,False,220.0,1.81156499,0.9,0.002,False,False,Residential,"10.525053,7.417249",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
5,05/09/2024 00:30,True,05/09/2024 00:30,,21.95423454,0.0,0.530610187,0.609693275,90.0,0.530610187,False,220.0,2.411864485,0.9,0.003,False,False,Residential,"10.525053,7.417250",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
7,05/09/2024 00:45,True,05/09/2024 00:45,,22.69277945,0.0,0.41732175,0.477040728,90.0,0.41732175,False,220.0,1.896917045,0.9,0.004,False,False,Residential,"10.525053,7.417251",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
9,05/09/2024 01:00,True,05/09/2024 01:00,,22.20047614,0.0,0.314497071,0.372710291,90.0,0.314497071,False,220.0,1.429532139,0.9,0.005,True,False,Residential,"10.525053,7.417252",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
11,05/09/2024 01:15,False,,05/09/2024 01:15,21.78089491,0.0,0.0,0.294086023,90.0,0.0,False,220.0,0.0,0.9,0.006,True,False,Residential,"10.525053,7.417253",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
13,05/09/2024 01:30,False,,05/09/2024 01:30,21.0,0.0,0.0,0.294086023,90.0,0.0,False,220.0,0.0,0.9,0.007,True,False,Residential,"10.525053,7.417254",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
15,05/09/2024 01:45,False,,05/09/2024 01:45,21.88416359,0.0,0.0,0.294086023,90.0,0.0,False,220.0,0.0,0.9,0.008,True,False,Residential,"10.525053,7.417255",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
17,05/09/2024 02:00,False,,05/09/2024 02:00,21.0,0.0,0.0,0.294086023,90.0,0.0,False,220.0,0.0,0.9,0.009,True,False,Residential,"10.525053,7.417256",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
19,05/09/2024 02:15,False,,05/09/2024 02:15,21.0,0.0,0.0,0.294086023,90.0,0.0,False,220.0,0.0,0.9,0.01,True,False,Residential,"10.525053,7.417257",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
21,05/09/2024 02:30,False,,05/09/2024 02:30,21.0,0.0,0.0,0.294086023,90.0,0.0,False,220.0,0.0,0.9,0.011,True,False,Residential,"10.525053,7.417258",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
23,05/09/2024 02:45,False,,05/09/2024 02:45,21.63617254,0.0,0.0,0.294086023,90.0,0.0,False,220.0,0.0,0.9,0.012,True,False,Residential,"10.525053,7.417259",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
25,05/09/2024 03:00,False,,05/09/2024 03:00,22.28304753,0.0,0.0,0.294086023,90.0,0.0,False,220.0,0.0,0.9,0.013,True,False,Residential,"10.525053,7.417260",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
27,05/09/2024 03:15,False,,05/09/2024 03:15,22.01146793,0.0,0.0,0.294086023,90.0,0.0,False,220.0,0.0,0.9,0.014,True,False,Residential,"10.525053,7.417261",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
29,05/09/2024 03:30,False,,05/09/2024 03:30,21.36417398,0.0,0.0,0.294086023,90.0,0.0,False,220.0,0.0,0.9,0.015,True,False,Residential,"10.525053,7.417262",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
31,05/09/2024 03:45,False,,05/09/2024 03:45,21.0,0.0,0.0,0.294086023,90.0,0.0,False,220.0,0.0,0.9,0.016,True,False,Residential,"10.525053,7.417263",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
33,05/09/2024 04:00,False,,05/09/2024 04:00,21.0,0.0,0.0,0.294086023,90.0,0.0,False,220.0,0.0,0.9,0.017,True,False,Residential,"10.525053,7.417264",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
35,05/09/2024 04:15,False,,05/09/2024 04:15,21.0,0.0,0.0,0.294086023,90.0,0.0,False,220.0,0.0,0.9,0.018,True,False,Residential,"10.525053,7.417265",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
